,Unnamed: 0,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Stock
3633,753,2015-01-02,532.6,535.8,527.88,529.55,1327870.0,0.0,1.0,532.6,535.8,527.88,529.55,1327870.0,GOOGL
2879,618,2015-01-02,50.66,50.78,49.47,50.17,11924473.0,0.0,1.0,50.66,50.78,49.47,50.17,11924473.0,YHOO
752,752,2015-01-02,111.39,111.44,107.35,109.33,53204626.0,0.0,1.0,105.82096585573,105.86846606484,101.98294895962,103.86395724039,53204626.0,AAPL
2260,753,2015-01-02,88.79,90.1,86.9,89.87,30286.0,0.0,1.0,87.134367605039,88.419940547516,85.279609695662,88.194229267539,30286.0,COKE
1506,753,2015-01-02,222.87,223.25,213.26,219.31,4764443.0,0.0,1.0,222.87,223.25,213.26,219.31,4764443.0,TSLA
2259,752,2015-01-05,89.07,90.0273,88.3687,89.2,13675.0,0.0,1.0,87.409146554576,88.34859615597601,86.720923421324,87.536722495432,13675.0,COKE
2878,617,2015-01-05,49.71,49.88,48.91,49.13,14389308.0,0.0,1.0,49.71,49.88,48.91,49.13,14389308.0,YHOO
751,751,2015-01-05,108.29,108.65,105.41,106.25,64285491.0,0.0,1.0,102.8759528909,103.21795439649,100.13994084615,100.9379443592,64285491.0,AAPL
3632,752,2015-01-05,527.15,527.9899,517.75,519.46,2059119.0,0.0,1.0,527.15,527.9899,517.75,519.46,2059119.0,GOOGL
1505,752,2015-01-05,214.55,216.5,207.1626,210.09,5368477.0,0.0,1.0,214.55,216.5,207.1626,210.09,5368477.0,TSLA
3631,751,2015-01-06,520.5,521.21,505.55,506.64,2731813.0,0.0,1.0,520.5,521.21,505.55,506.64,2731813.0,GOOGL
2258,751,2015-01-06,89.2,89.63,88.0,88.59,11811.0,0.0,1.0,87.536722495432,87.95870445365,86.359098425987,86.938096926798,11811.0,COKE
2877,616,2015-01-06,49.2,49.88,48.33,49.21,16204304.0,0.0,1.0,49.2,49.88,48.33,49.21,16204304.0,YHOO
750,750,2015-01-06,106.54,107.43,104.63,106.26,65797116.0,0.0,1.0,101.21344557204,102.0589492942,99.398937584029,100.94744440102,65797116.0,AAPL
1504,751,2015-01-06,210.06,214.2,204.21,211.28,6261936.0,0.0,1.0,210.06,214.2,204.21,211.28,6261936.0,TSLA
2257,750,2015-01-07,89.37,89.49,88.0,89.13,13153.0,0.0,1.0,87.70355257193701,87.82131497888201,86.359098425987,87.468027758048,13153.0,COKE
749,749,2015-01-07,107.2,108.2,106.695,107.75,40105934.0,0.0,1.0,101.84044833229,102.7904525145,101.36069622028,102.36295063251,40105934.0,AAPL
2876,615,2015-01-07,49.62,49.64,48.51,48.59,11788031.0,0.0,1.0,49.62,49.64,48.51,48.59,11788031.0,YHOO
3630,750,2015-01-07,510.95,511.49,503.65,505.15,2345875.0,0.0,1.0,510.95,511.49,503.65,505.15,2345875.0,GOOGL
1503,750,2015-01-07,213.35,214.78,209.78,210.95,2968390.0,0.0,1.0,213.35,214.78,209.78,210.95,2968390.0,TSLA
1502,749,2015-01-08,212.81,213.7999,210.01,210.615,3442509.0,0.0,1.0,212.81,213.7999,210.01,210.615,3442509.0,TSLA
748,748,2015-01-08,109.23,112.15,108.7,111.89,59364547.0,0.0,1.0,103.76895682217,106.54296903421,103.2654546056,106.29596794683,59364547.0,AAPL
3629,749,2015-01-08,501.51,507.5,495.02,506.91,3662224.0,0.0,1.0,501.51,507.5,495.02,506.91,3662224.0,GOOGL
2256,749,2015-01-08,89.38,90.2,88.15,90.18,12560.0,0.0,1.0,87.713366105849,88.518075886637,86.506301434668,88.498448818813,12560.0,COKE
2875,614,2015-01-08,48.99,50.23,48.72,50.23,14704771.0,0.0,1.0,48.99,50.23,48.72,50.23,14704771.0,YHOO
